id,ax,ay,az,gx,gy,gz,temp
1,10696,352,13252,61,334,-101,42.0
2,10748,352,13224,15,445,-122,42.0
3,10688,468,13168,31,352,-16,41.8
4,10680,368,13240,36,423,-63,41.7
5,10672,352,13304,45,458,-118,41.9
6,10748,388,13264,4,388,-63,41.9
7,10668,348,13272,26,413,-39,41.9
8,10672,468,13176,15,389,-97,42.0
9,10720,336,13268,28,335,-88,42.2
10,10776,388,13224,7,391,-67,41.9
11,10664,480,13240,52,433,-83,41.9
12,10732,296,13244,33,305,-66,41.9
13,10720,404,13220,72,428,-50,41.9
14,10756,496,13328,29,438,-86,42.2
