1,9472,348,14196,53,401,-92,42.22
2,9388,340,14092,26,426,-111,41.99
3,9520,348,14276,59,408,-83,42.08
4,9504,388,14236,37,420,-85,42.22
5,9596,400,14292,33,445,-73,42.22
6,9432,368,14180,31,430,-69,42.08
7,10124,-1008,14036,-2379,880,-5761,42.27
8,9644,656,13832,142,631,-50,42.22
9,8552,564,15460,1786,5879,-183,42.27
10,7860,1740,15472,-2013,-12535,-942,42.22
11,9496,1200,13308,233,2752,282,42.08
12,8244,-2008,11832,-14763,1371,-4859,42.41
13,7388,-3380,13844,-5976,3833,-2157,42.22
14,7184,-1560,15284,9338,6404,1770,42.22
15,6492,5488,16860,24903,-1053,5109,42.13
16,6656,6760,14932,17087,-282,826,42.27
17,6336,11040,15724,9771,-389,3486,42.22
18,6232,8524,15172,-202,1914,-1473,42.22
19,6032,6712,14372,-259,2150,-2123,42.08
20,4760,6092,16068,-6489,3947,-824,41.99
21,4024,4228,14156,-10411,6233,2001,42.32
22,2984,-144,14944,-13484,4309,-610,42.22
23,2828,712,18556,-12580,-203,189,42.22
24,2520,-3380,16316,-4882,579,-2650,42.22
25,3556,516,18868,7252,-1426,-3669,41.89
26,3496,2616,18668,5006,-594,-4037,41.94
27,3872,4788,16856,15535,-1317,947,41.80
28,3116,7104,16292,9407,177,-484,42.22
29,2896,8256,15440,6027,144,-1930,42.22
30,2460,8372,12620,16488,3641,9711,42.22
31,3000,10624,15452,-1253,4251,3606,42.22
32,2608,7224,16064,-27774,6345,1687,42.51
33,2212,3908,14644,-17069,910,-1975,42.08
34,1448,1080,16344,-8696,-3387,-73,42.27
35,2376,-2228,16728,1839,-2561,-939,42.08
36,3888,-1516,15564,11654,-5568,-466,42.32
37,5256,2584,15528,20014,-4828,238,42.41
38,5436,9236,15348,10161,-2366,-1763,42.32
39,5772,9216,14204,10165,-3044,-3431,42.08
40,5304,8472,12356,1963,-1095,-4666,42.13
41,5412,11352,11944,-1929,2313,-2395,42.27
42,4444,10848,12348,-2455,174,-1962,42.22
43,3956,10104,13976,223,168,1172,42.22
44,4084,9976,13776,-2382,969,-1225,42.22
45,3760,10228,12724,-7602,331,6567,42.22
46,4780,6532,13048,19849,1026,7895,42.27
47,3320,11260,12944,13036,-1184,3472,42.08
48,5272,9956,11208,-6092,2910,-49,42.22
49,5304,11112,12700,884,642,2680,41.99
50,5564,10240,13816,-269,394,732,42.27
51,5820,10256,10148,-1226,2331,96,42.32
52,5384,11328,13012,1591,-798,2039,42.27
53,5272,10924,11912,-2184,1337,1000,42.22
54,4388,12744,14368,-12799,1131,-1975,42.22
55,5488,7736,12896,3373,2466,5650,42.22
56,5904,10064,11200,6297,-4522,4522,41.89
57,7180,8388,13036,-19663,-3477,-8194,42.27
58,7472,5820,12484,-9616,-2309,-3744,42.27
59,7128,7340,13676,4928,-308,-1077,42.08
60,6040,7480,13204,555,4458,2439,42.32
61,5892,6544,13648,-3306,243,-682,42.13
62,6796,5604,14084,-2348,1854,-901,41.99
63,6748,5660,14024,12440,143,3862,41.94
64,6788,9752,14664,15683,-604,5448,42.22
65,7008,9512,12944,-12402,968,-8300,42.22
66,6992,7096,13392,-11867,-671,-3016,42.46
67,6384,7380,14684,1921,1828,1453,41.99
68,5808,8288,14308,8026,2641,1276,42.27
69,6816,9980,15960,-1788,-6154,-2652,42.27
70,5996,7584,14448,-2683,1347,-2646,41.99
71,6120,9456,16092,-12031,2075,-7478,42.27
72,5940,8572,15388,20904,2183,1886,42.27
73,4180,12436,14832,-11854,322,-10986,42.32
74,4512,6136,13856,-4459,325,-3704,42.32
75,4216,7068,14896,4756,1015,3558,42.27
76,4980,8048,13656,-1148,-1269,935,42.32
77,5792,9180,13712,-810,135,-507,42.13
78,5448,6816,14024,-3048,-1578,-2603,42.22
79,5624,7184,13244,5580,1273,3112,42.32
80,4844,11168,14516,-4813,2353,-3454,42.22
81,5892,8288,13160,1735,-883,853,42.22
82,5872,8632,13660,1134,-565,704,41.99
83,5984,8800,13968,-881,401,-1050,42.32
84,5432,8368,14168,-1114,1184,-518,42.27
85,5792,7496,13876,-6772,1072,-2985,42.13
86,6772,6672,12692,10412,1451,5070,42.22
87,5424,11504,14192,-4916,1299,-3364,41.94
88,5980,5948,12920,-8014,-441,-4031,42.22
89,5644,8828,13488,11393,1319,5388,42.13
90,5892,11184,13260,-23569,-348,-13330,42.13
91,5492,3344,15660,-2675,-389,-823,42.27
92,4616,6700,15384,5657,2529,3448,42.32
93,4392,6916,14780,-7604,246,-2980,42.32
94,5084,5320,15148,13735,-1623,4269,42.22
95,4996,8620,16120,4528,111,1590,42.32
96,5052,6148,15016,-14100,203,-3895,42.08
97,5100,5176,15568,1104,-172,3374,42.22
98,5676,4636,15312,6798,-1012,2357,42.08
99,7016,7580,12484,21386,-4039,6635,42.22
100,6756,7460,15200,-21816,885,-5861,42.27
101,6360,3060,12460,1614,-2485,2586,42.27
102,7120,6812,14640,14787,-5146,4266,42.27
103,9144,4872,13376,-24676,-3784,-7741,42.22
104,7880,6156,14984,11521,1378,3148,42.22
105,7780,6320,13284,3957,999,471,42.41
106,8492,9040,14480,-8870,-3091,-5867,42.13
107,9084,7672,14688,-17858,4634,-4031,42.22
108,8480,7492,14104,20251,-152,4066,42.32
109,7896,8444,13564,4907,2966,-1303,42.22
110,7208,10524,11932,4154,-296,-5400,42.27
111,7564,8020,10916,-7395,898,-3177,42.08
112,7716,6172,11912,-9018,5158,5402,42.13
113,7812,6760,10180,23257,1836,6157,42.32
