id,ax,ay,az,gx,gy,gz,temp
1,10316,416,13616,37,465,-90,42.5
2,10376,408,13548,34,363,-106,42.6
3,10376,400,13436,42,385,-61,42.6
4,10288,280,13580,43,351,-60,42.6
5,10312,380,13436,69,406,-85,42.5
6,10384,392,13560,51,442,-64,42.5
7,10308,352,13428,29,340,-88,42.6
8,10340,360,13536,40,366,-33,42.6
9,10332,372,13588,45,401,-82,42.6
10,10364,392,13576,34,396,-74,42.6
11,10328,388,13552,34,443,-101,42.5
12,10356,368,13628,31,382,-87,42.6
13,10300,372,13492,42,379,-65,42.4
14,10336,424,13548,41,468,-78,42.5
15,10280,308,13520,39,359,-76,42.6
16,10280,400,13444,73,421,-81,42.6
17,10280,364,13572,23,402,-76,42.5
18,10368,364,13592,54,361,-83,42.5
19,10372,392,13636,50,449,-90,42.6
20,10384,320,13672,48,348,-70,42.7
21,10360,368,13560,41,357,-108,42.6
22,10364,372,13600,29,444,-79,42.4
23,10340,268,13584,34,327,-70,42.6
24,10368,432,13656,41,399,-99,42.6
25,10316,448,13548,37,433,-77,42.6
26,10372,268,13636,45,320,-84,42.4
27,10316,416,13552,57,408,-69,42.3
28,10360,368,13580,21,421,-61,42.6
29,10400,284,13468,74,365,-45,42.6
30,10336,432,13568,45,437,-133,42.4
31,10364,328,13564,49,370,-114,42.6
32,10404,348,13508,59,422,-96,42.6
33,10296,388,13588,38,394,-56,42.6
34,10372,308,13484,20,362,-72,42.2
35,10444,440,13444,37,390,-95,42.6
36,10296,420,13596,36,414,-86,42.6
37,10368,404,13612,14,375,-106,42.8
38,10356,408,13532,35,436,-89,42.6
39,10336,360,13552,38,439,-78,42.4
40,10324,312,13520,35,355,-52,42.6
41,10352,432,13552,38,420,-92,42.6
42,10324,384,13556,46,377,-89,42.6
43,10332,416,13476,34,376,-98,42.6
44,10408,416,13616,64,424,-106,42.6
45,10308,332,13496,45,355,-85,42.5
46,10312,376,13584,43,397,-90,42.5
47,10400,292,13640,51,379,-69,42.6
48,10276,360,13480,62,375,-74,42.6
49,10288,412,13548,31,428,-89,42.4
50,10368,356,13504,25,358,-61,42.6
51,10344,400,13484,18,423,-100,42.6
52,10300,412,13520,39,388,-99,42.6
53,10344,312,13572,65,357,-111,42.4
54,10320,384,13480,27,409,-70,42.3
55,10340,324,13520,35,375,-100,42.6
56,10344,396,13456,35,377,-69,42.6
57,10308,400,13664,35,417,-78,42.5
58,10344,340,13604,38,353,-88,42.6
59,10260,400,13524,61,420,-92,42.3
60,10304,380,13536,61,383,-79,42.4
61,10352,408,13584,43,358,-63,42.6
62,10308,452,13632,14,449,-83,42.5
63,10332,276,13600,33,321,-85,42.3
64,10364,424,13464,47,427,-99,42.4
65,10276,452,13544,72,440,-76,42.5
66,10384,388,13480,32,314,-91,42.3
67,10224,360,13472,18,387,-79,42.8
68,10264,268,13620,51,426,-93,42.5
69,10328,316,13580,37,350,-83,42.8
70,10392,436,13516,54,437,-97,42.5
71,10344,416,13536,38,374,-86,42.6
72,10344,296,13520,50,341,-45,42.5
73,10276,392,13484,36,416,-45,42.7
74,10312,320,13592,41,396,-110,42.7
75,10372,448,13464,50,395,-102,42.6
76,10288,440,13508,42,426,-55,42.8
77,10396,364,13528,40,343,-81,42.6
78,10384,428,13520,39,391,-88,42.4
79,10280,336,13540,15,432,-93,42.6
80,10252,296,13592,46,294,-99,42.5
81,10308,328,13524,50,425,-72,42.6
82,10344,328,13532,55,359,-94,42.6
83,10292,472,13496,53,410,-59,42.5
84,10360,448,13528,43,401,-91,42.6
85,10344,392,13560,73,370,-47,42.5
86,10364,344,13540,57,440,-98,42.5
87,10372,392,13528,40,421,-101,42.6
88,10352,420,13576,42,383,-86,42.5
89,10420,488,13552,60,415,-70,42.6
90,10312,376,13468,43,369,-83,42.6
91,10336,384,13560,57,399,-79,42.7
92,10296,316,13524,53,392,-91,42.5
93,10392,440,13528,44,398,-67,42.5
94,10344,440,13584,34,433,-73,42.6
95,10404,328,13584,47,345,-64,42.6
96,10300,396,13632,65,418,-81,42.8
97,10392,384,13460,56,404,-96,42.5
98,10376,416,13540,44,334,-90,42.5
99,10404,356,13552,59,387,-95,42.6
100,10364,296,13536,18,392,-76,42.7
101,10348,320,13572,47,393,-74,42.7
102,10292,440,13568,33,440,-107,42.6
103,10364,356,13488,32,330,-101,42.5
104,10248,392,13568,45,392,-42,42.7
105,10272,424,13576,62,420,-88,42.6
106,10268,304,13584,36,354,-66,42.6
107,10384,448,13580,39,433,-82,42.6
108,10348,336,13628,61,414,-82,42.8
109,10308,292,13580,41,353,-104,42.6
110,10360,452,13416,54,402,-76,42.8
111,10372,312,13568,49,420,-75,42.2
112,10312,376,13432,41,375,-105,42.6
113,10276,436,13528,66,392,-76,42.8
114,10356,336,13516,47,354,-103,42.6
115,10316,376,13584,41,380,-109,42.8
116,10288,472,13564,44,402,-106,42.5
117,10268,376,13508,60,369,-75,42.4
118,10376,344,13572,31,379,-84,42.3
119,10292,396,13528,58,387,-86,42.6
120,10304,356,13532,41,372,-78,42.5
121,10332,404,13448,79,433,-73,42.6
122,10328,396,13564,74,351,-88,42.4
123,10412,364,13560,33,361,-55,42.6
124,10404,340,13520,49,428,-108,42.5
125,10356,292,13428,36,370,-119,42.7
126,10400,464,13560,55,429,-69,42.5
127,10356,400,13540,32,402,-69,42.5
128,10312,408,13700,60,384,-77,42.5
