id,ax,ay,az,gx,gy,gz,temp
1,10412,420,13424,38,472,-73,41.9
2,10432,380,13516,48,469,-54,41.8
3,10344,396,13452,65,292,-94,42.0
4,10368,444,13392,19,401,-98,41.9
5,10392,296,13504,46,392,-72,42.0
6,10348,348,13556,33,370,-51,42.0
7,10472,548,13416,27,434,-53,42.1
8,10384,328,13456,20,307,-95,42.1
9,10432,336,13452,64,356,-77,42.0
10,10336,368,13472,41,430,-78,42.1
11,10444,264,13548,24,410,-65,42.1
12,10468,424,13484,39,404,-63,42.1
13,10360,448,13504,25,420,-62,41.9
14,10424,296,13448,75,327,-74,41.9
15,10388,368,13484,36,410,-74,42.0
16,10340,308,13496,59,389,-68,41.9
17,10404,356,13580,54,368,-75,41.8
18,10372,492,13616,31,453,-85,42.0
19,10332,288,13544,29,387,-113,41.8
20,10336,440,13600,45,367,-82,42.1
21,10300,352,13596,29,438,-61,42.1
22,10432,300,13508,26,376,-81,41.9
23,10420,408,13524,63,431,-100,41.9
24,10316,408,13440,34,442,-63,41.9
25,10380,340,13592,18,396,-72,42.0
26,10388,464,13516,65,393,-101,42.2
27,10424,376,13576,34,442,-94,41.9
28,10400,312,13456,43,393,-82,42.1
29,10392,456,13560,47,390,-73,42.0
30,10344,324,13472,48,382,-76,42.1
31,10336,380,13464,46,412,-63,41.9
32,10408,392,13524,49,444,-111,42.1
33,10336,376,13476,50,387,-84,41.8
34,10372,436,13516,23,391,-66,42.2
35,10440,372,13524,53,349,-60,41.9
36,10424,372,13408,32,424,-113,42.0
37,10448,288,13560,47,415,-60,42.2
38,10384,364,13536,33,403,-60,42.2
39,10404,436,13468,36,409,-106,42.2
40,10372,384,13524,32,397,-91,41.9
41,10312,372,13528,23,362,-91,41.9
42,10316,372,13412,30,404,-103,42.1
43,10392,320,13444,28,395,-81,41.9
44,10396,388,13492,41,369,-76,42.0
45,10372,404,13548,29,440,-113,42.2
46,10408,344,13560,68,363,-116,42.0
47,10408,348,13500,53,404,-74,41.9
48,10380,400,13572,29,447,-116,42.0
49,10460,368,13524,30,371,-97,42.0
50,10424,460,13444,29,429,-84,42.1
51,10368,368,13404,30,471,-91,42.0
52,10392,348,13532,33,360,-84,42.0
53,10420,384,13452,37,414,-73,41.9
54,10388,340,13556,16,404,-97,42.1
55,10480,352,13516,65,317,-87,41.8
56,10460,416,13476,33,459,-92,42.1
57,10424,364,13628,65,382,-100,42.2
58,10312,348,13408,34,361,-73,41.9
59,10356,408,13456,76,440,-114,42.1
60,10408,292,13468,51,367,-75,42.2
61,10424,432,13360,55,376,-92,42.1
62,10344,356,13500,26,421,-67,41.9
63,10380,256,13496,28,345,-50,41.9
64,10396,400,13520,43,461,-91,42.1
65,10412,388,13476,59,426,-64,42.1
66,10340,360,13648,35,351,-57,42.3
67,10396,392,13476,39,419,-110,41.9
68,10400,320,13500,38,426,-90,42.0
69,10328,348,13500,50,321,-86,42.3
70,10440,452,13420,10,398,-69,42.3
71,10404,324,13484,17,435,-84,42.0
72,10444,376,13560,81,375,-91,42.2
73,10360,412,13388,43,438,-88,42.3
74,10316,384,13444,35,341,-114,41.8
75,10412,352,13504,46,397,-124,42.2
76,10396,380,13520,15,417,-43,42.0
77,10368,332,13460,35,329,-84,42.3
78,10416,364,13528,39,431,-91,42.0
79,10412,380,13612,27,442,-86,42.1
80,10396,336,13416,37,364,-77,42.0
81,10368,428,13492,14,416,-62,41.9
82,10340,352,13676,57,375,-59,42.0
83,10420,328,13532,36,426,-95,41.9
84,10384,408,13492,53,433,-103,41.9
85,10396,352,13484,34,422,-81,41.9
86,10412,352,13476,42,408,-98,42.2
87,10324,360,13476,37,378,-47,42.3
88,10324,332,13416,52,410,-65,42.0
89,10324,372,13368,22,394,-71,42.2
90,10400,376,13480,31,379,-79,42.0
91,10300,416,13512,48,407,-102,42.0
92,10380,372,13540,41,376,-68,42.1
93,10364,300,13424,19,394,-126,41.8
94,10416,376,13468,54,423,-69,42.3
95,10444,380,13604,20,398,-77,42.2
96,10352,364,13492,33,368,-124,42.3
97,10396,408,13488,25,427,-66,42.1
98,-23040,12156,32767,13571,4743,11389,41.9
99,9284,-4252,9288,-6268,17634,-1880,41.9
100,7384,3192,20028,1283,27206,-11047,42.2
101,-980,-7560,2340,-8505,-13955,-16324,42.1
102,15192,1792,31212,28928,-17918,27109,42.1
103,16724,19260,10028,4885,32767,9609,42.1
104,4452,14180,-920,-1170,12152,-20265,42.0
105,7248,1660,27280,12901,-27181,13901,42.3
106,17228,13436,32767,-2089,8357,31397,42.0
107,5500,9124,-7984,13593,25287,-26970,42.2
108,3560,-5628,13508,4696,-22783,-1336,42.0
109,16632,-112,25440,926,-32768,4423,41.8
110,21464,11472,25688,-4134,32767,-2863,42.3
111,4272,8956,-276,14127,27048,6676,42.1
112,12940,5036,32767,15123,-32768,-9781,42.2
113,4424,6668,7336,32767,-5505,-19687,42.2
114,5348,17180,264,26440,-26492,2486,41.8
115,10080,15148,-224,-2446,-8223,-10014,42.2
116,7152,17528,-9580,18,-2678,5942,42.1
117,9184,17816,1688,-32768,-2176,5015,42.1
118,7552,13680,3968,-13097,17502,-8737,42.0
119,6768,8776,11192,-10386,359,826,42.1
120,5524,11000,10212,-8258,-8956,-9801,42.1
121,10300,9808,8940,16432,-25112,-7248,42.3
122,11620,7776,11072,14703,12951,4152,42.0
123,16352,5032,13452,-2661,-13296,19123,42.3
124,15276,-3368,7308,-32768,15342,16888,42.1
125,13464,3112,8876,-19600,13321,2477,42.4
126,15728,3216,7144,-16459,4252,6468,42.0
127,14224,-4968,9768,-4931,10869,-3207,42.2
128,16564,-3060,17436,-10753,18418,7611,42.1
